program;course ML;course Inf.retr.;course Statistics;course databases;video recording device;chocolates make you;day_t;month_t;year_t;number of neighbours;stand up?;stress level;how much money?;see gorilla?;random number;sleeping time;drink last night;hours of sport
AI;y;0;mu;j;Yes;neither;3375;0.4005;;2;n;40;0.2;Yes;7;0.0833;5;4
AI;y;0;sigma;j;Yes;slim;1000;-0.7413;;4;n;27;0;Yes;2;0.9583;1;7
BMI;y;1;mu;j;Yes;neither;-2744;0.4005;;4;n;30;100;Yes;10;0.9583;0;3
Ectr.;n;0;mu;j;Yes;neither;-1;-1.3121;0.2500;1;n;0;3;What gorilla;10;0.2500;0;6
Ectr.;Y;0;mu;n;Yes;fat;1331;-1.3121;;3;n;20;50;What gorilla;9;0.0417;0;2
Bio informatics;n;1;mu;j;give me a day;neither;-2197;-1.5975;;3;n;10;5;Yes;2;0.0000;0;0
Bio informatics;y;0;mu;j;Yes;fat;2197;0.9713;0.2500;3;n;20;1;What gorilla;6;0.0000;0;4
AI;y;0;mu;n;Yes;I have no idea what you are talking about;-1728;-0.7413;;4;n;1;2;Yes;8;0.9965;1;3
BMI;y;0;mu;j;Yes;neither;3375;-0.7413;;8;n;60;5;What gorilla;6;0.9583;2;3
BMI;y;0;mu;j;Yes;neither;216;1.2567;;20;Y;25;0.1;What gorilla;9;0.9826;0;9
BMI;y;0;mu;j;Yes;neither;3375;1.5422;;2;Y;30;5;What gorilla;6.36742;0.9792;2;8
AI;y;0;mu;j;Yes;I have no idea what you are talking about;-27;0.4005;0.2500;5;n;90;1;Yes;8;0.1667;0;7
AI;y;0;mu;n;Yes;neither;0;0.9713;0.1250;1;y;15;1;Yes;10;0.9826;0;3.5
BMI;y;0;mu;j;Yes;fat;125;1.2567;0.1875;8;y;30;3;What gorilla;2;0.9896;1;8
BMI;y;0;mu;j;Yes;neither;8;0.6859;0.2813;8;n;40;2;What gorilla;9;0.0417;0;5
BMI;n;0;mu;n;Yes;neither;1331;-1.0267;0.3125;5;n;40;5;What gorilla;8;0.0313;4;5
BMI;y;1;mu;j;No;fat;8;-1.3121;0.1875;1;n;50;0.5;What gorilla;3;;0;0
SFM;n;0;mu;j;Yes;fat;-2744;-1.0267;0.1250;3;n;60;5;What gorilla;6;0.0104;0;5
CS;n;0;mu;j;Yes;neither;-1;0.1150;0.2188;5;y;40;100;What gorilla;4;0.1250;3;4
CS;y;0;sigma;j;Yes;I have no idea what you are talking about;-512;0.1150;;7;y;42.6;10000;What gorilla;8;0.0833;0;10
BMI;y;0;mu;j;Yes;fat;1728;-1.0267;0.2188;6;n;10;1.3;What gorilla;3;0.0833;0;7
BMI;y;0;mu;j;Yes;fat;-343;1.2567;;7;n;20;1;What gorilla;7;0.9583;0;4
BMI;Y;0;mu;J;Yes;I have no idea what you are talking about;-216;-1.5975;;7;N;13;0;Yes;7;0.9479;1;6
CS;n;0;mu;j;Yes;I have no idea what you are talking about;8;-1.5975;0.2813;8;y;60;90;What gorilla;4;0.0833;0;7
BMI;n;0;mu;n;Yes;fat;-343;-0.4558;0.2813;1;y;30;99;What gorilla;8;0.9896;0;7
BMI;n;0;mu;j;Yes;fat;27;-0.4558;0.1563;5;y;23;98;What gorilla;2;0.9965;0;9
BMI;y;1;mu;j;Yes;slim;343;-1.3121;0.3438;2;y;6.5;0;What gorilla;2;0.0208;0;15
BMI;y;0;mu;j;Yes;fat;2197;1.2567;0.3125;3;y;38536;100;What gorilla;1;0.0139;0;6
BMI;y;0;mu;j;Yes;fat;-2744;0.6859;0.2813;5;n;50;;What gorilla;7;;0;2
BMI;n;0;mu;j;No;neither;-343;-0.1704;0.2813;6;N;60;0;What gorilla;3;0.1319;8;3
mFIN;n;0;mu;j;give me a day;neither;2744;1.5422;0.0313;5;y;20;0;What gorilla;4;0.0000;0;2
Ectr.;n;0;mu;j;Yes;neither;512;-1.5975;0.2813;5;n;25;3;Yes;10;0.0903;2;3
BMI;n;3;mu;n;No;I have no idea what you are talking about;2744;-1.5975;0.0000;13;y;50;30;Yes;5;0.9375;0;1
CS;n;0;mu;j;Yes;neither;-2197;-0.1704;0.2813;5;y;7.5;5000;What gorilla;6.35;0.0451;3;4
BMI;y;0;mu;j;No;fat;-8;1.2567;;6;y;0;50;What gorilla;13;0.9757;1;7
BMI;y;0;mu;j;Yes;neither;-512;1.2567;;5;n;30;5;What gorilla;7.77777;0.9007;0;2
BMI;y;0;sigma;j;Yes;slim;64;0.1150;;4;n;40;40;What gorilla;6;0.9792;0;5
Information Science;y;1;mu;j;Yes;neither;125;0.4005;0.2500;6;y;70;4.20003E+11;What gorilla;9;0.0625;0;7
AI;n;1;sigma;n;Yes;fat;-1331;-1.3121;0.2813;7;n;65;100;What gorilla;7;0.0208;2;3
AI;n;0;mu;n;Yes;fat;-1331;-0.1704;0.2188;3;n;65;90;What gorilla;3;0.0000;3;5
CS;n;0;mu;n;Yes;fat;1000;-0.4558;0.2813;7;y;50;1;What gorilla;8;0.0208;0;5
Exchange;y;1;mu;n;Yes;neither;0;0.9713;0.1875;4;n;65;20;What gorilla;3;0.9931;0;6
Ectr.;n;0;mu;n;Yes;neither;4096;-0.4558;;5;n;30;10;What gorilla;4;0.1042;0;5
Qfinance;n;0;mu;n;Yes;slim;64;1.2567;;8;y;5;10;What gorilla;9;0.0625;0;10
Ectr.;n;0;mu;n;Yes;neither;0;-0.1704;0.2813;1;n;75;15;What gorilla;2;0.9965;0;4
BMI;n;0;mu;n;Yes;fat;2197;-1.0267;0.1875;4;y;30;5;What gorilla;7;0.5625;0;2
CS;y;0;mu;j;Yes;I have no idea what you are talking about;8;-0.1704;0.3125;7;n;65;99;Yes;7;0.5208;2;8
CS;y;0;mu;j;No;fat;3375;1.2567;0.2813;7;n;10;85;What gorilla;7;0.0833;0;2
Bio informatics;n;0;mu;n;Yes;neither;3375;1.5422;;4;n;65;5;Yes;3;0.9167;0;6
Exchange;y;0;mu;j;No;neither;729;0.4005;0.2813;6;n;40;1;What gorilla;10;0.1007;2;2
CS;n;0;mu;j;give me a day;fat;216;0.1150;0.0938;11;y;90;23;What gorilla;7;0.0972;0;0
CS;y;1;sigma;j;Yes;neither;-1;-0.7413;0.2500;6;n;20;1;Yes;7;0.0417;0;4
Ectr.;y;0;mu;n;Yes;neither;729;-0.1704;0.2500;8;n;20;10;Yes;8;0.0000;2;2
Ectr.;y;1;mu;n;Yes;fat;343;1.2567;0.3125;1;n;0;25;What gorilla;7;0.1875;3;4
BMI;y;0;mu;j;Yes;fat;2197;0.9713;0.3125;4;n;70;20;Yes;3.14;0.0417;0;8
CS;n;1;mu;j;Yes;fat;-27;0.6859;0.1563;50;?;40;80;What gorilla;7;0.9792;0;3
CS;n;1;mu;j;Yes;neither;-125;0.4005;0.1250;13;y;20;100;What gorilla;7;0.9792;0;8
Biomed;n;0;mu;n;Yes;I have no idea what you are talking about;64;1.2567;0.2500;2;y;50;50;Yes;9.9;0.9583;0;3
Bio informatics;n;0;mu;n;Yes;fat;1;0.1150;0.1563;5;n;5;50;Yes;8;0.0278;0;2
SB;n;1;mu;n;Yes;I have no idea what you are talking about;-343;-0.7413;;3;n;50;40;What gorilla;5;0.1111;0;3
Ectr.;n;0;mu;n;Yes;fat;0;0.9713;;1;n;30;100;What gorilla;6;0.9792;0;5
CS;n;0;mu;j;Yes;neither;8;-0.7413;0.2813;5;n;30;2;What gorilla;10;0.9583;0;2
Finance;n;1;mu;j;Yes;neither;125;1.5422;1.0000;4;n;45;2;What gorilla;7;0.0729;0;15
BMI;y;0;mu;j;Yes;fat;-8;-1.0267;1.0000;5;n;1.31415692;1000;What gorilla;10;0.7917;0;5
Ectr.;y;0;mu;n;Yes;neither;1331;-0.1704;0.1875;3;n;90;5;Yes;8;0.9375;0;8
BMI;y;0;mu;j;Yes;fat;1;0.1150;0.0625;6;y;60;5;What gorilla;7;0.9167;0;6
AI;n;1;sigma;j;Yes;neither;27;-1.5975;0.2188;2;y;10;20;Yes;8;0.0417;0;1
